game_id,season,team_name,golie_name,timeOnIce,assists,goals_for,pim,saves,shots,goals_against,savePercentage,powerPlaySaves,powerPlayShotsAgainst,powerPlaySavePercentage,outcome
2011030216,20112012,Rangers,Henrik Lundqvist,3462,0,0,0,21,23,2,91.304347826087,1,2,50.0,L
2011030216,20112012,Capitals,Braden Holtby,3600,0,0,0,30,31,1,96.77419354838709,6,6,100.0,W
2011030217,20112012,Capitals,Braden Holtby,3542,0,0,0,29,31,2,93.54838709677419,2,2,100.0,L
2011030217,20112012,Rangers,Henrik Lundqvist,3599,0,0,0,22,23,1,95.6521739130435,0,0,,W
2012030241,20122013,Sharks,Antti Niemi,3488,0,0,0,18,20,2,90.0,0,0,,L
2012030241,20122013,Kings,Jonathan Quick,3600,0,0,0,35,35,0,100.0,4,4,100.0,W
2012030242,20122013,Sharks,Antti Niemi,3532,0,0,0,27,31,4,87.09677419354841,8,11,72.7272727272727,L
2012030242,20122013,Kings,Jonathan Quick,3597,0,0,0,28,31,3,90.32258064516131,6,6,100.0,W
2012030243,20122013,Kings,Jonathan Quick,3689,0,0,10,38,40,2,95.0,4,6,66.6666666666667,L
2012030243,20122013,Sharks,Antti Niemi,3689,0,0,0,26,27,1,96.29629629629629,3,3,100.0,W
2012030244,20122013,Kings,Jonathan Quick,3534,0,0,0,21,23,2,91.304347826087,4,5,80.0,L
2012030244,20122013,Sharks,Antti Niemi,3598,0,0,0,22,23,1,95.6521739130435,1,2,50.0,W
2012030245,20122013,Sharks,Antti Niemi,3491,0,0,0,26,28,2,92.8571428571429,2,2,100.0,L
2012030245,20122013,Kings,Jonathan Quick,3600,0,0,0,24,24,0,100.0,4,4,100.0,W
2012030246,20122013,Kings,Jonathan Quick,3504,0,0,0,24,26,2,92.30769230769229,4,5,80.0,L
2012030246,20122013,Sharks,Antti Niemi,3600,1,0,0,24,25,1,96.0,3,3,100.0,W
2012030247,20122013,Sharks,Antti Niemi,3503,0,0,0,16,18,2,88.88888888888891,2,3,66.6666666666667,L
2012030247,20122013,Kings,Jonathan Quick,3600,0,0,2,25,26,1,96.1538461538462,1,1,100.0,W
2011030311,20112012,Devils,Martin Brodeur,3521,0,0,0,25,27,2,92.5925925925926,5,6,83.3333333333333,L
2011030311,20112012,Rangers,Henrik Lundqvist,3600,0,0,0,21,21,0,100.0,2,2,100.0,W
2011030312,20112012,Devils,Martin Brodeur,3600,0,0,0,23,25,2,92.0,5,7,71.4285714285714,W
2011030312,20112012,Rangers,Henrik Lundqvist,3531,0,0,0,24,27,3,88.88888888888891,4,5,80.0,L
2011030313,20112012,Rangers,Henrik Lundqvist,3600,0,0,0,36,36,0,100.0,6,6,100.0,W
2011030313,20112012,Devils,Martin Brodeur,3577,0,0,0,19,21,2,90.4761904761905,1,2,50.0,L
2011030314,20112012,Rangers,Henrik Lundqvist,3538,0,0,0,26,29,3,89.65517241379308,9,10,90.0,L
2011030314,20112012,Devils,Martin Brodeur,3599,1,0,0,28,29,1,96.551724137931,4,4,100.0,W
2011030315,20112012,Devils,Martin Brodeur,3600,0,0,0,25,28,3,89.2857142857143,2,2,100.0,W
2011030315,20112012,Rangers,Henrik Lundqvist,3554,0,0,0,12,16,4,75.0,1,1,100.0,L
2011030316,20112012,Rangers,Henrik Lundqvist,3663,0,0,0,26,29,3,89.65517241379308,7,8,87.5,L
2011030316,20112012,Devils,Martin Brodeur,3663,0,0,0,33,35,2,94.2857142857143,3,3,100.0,W
2011030141,20112012,Flyers,Ilya Bryzgalov,3743,0,0,0,25,28,3,89.2857142857143,5,5,100.0,W
2011030141,20112012,Penguins,Marc-Andre Fleury,3743,0,0,0,22,26,4,84.6153846153846,0,1,0.0,L
2011030142,20112012,Flyers,Ilya Bryzgalov,3600,0,0,0,23,28,5,82.1428571428571,6,8,75.0,W
2011030142,20112012,Penguins,Marc-Andre Fleury,3513,0,0,0,23,30,7,76.6666666666667,3,4,75.0,L
2011030143,20112012,Penguins,Brent Johnson,1200,0,0,0,4,6,2,66.6666666666667,0,1,0.0,
2011030143,20112012,Penguins,Marc-Andre Fleury,2400,0,0,0,22,28,6,78.5714285714286,9,12,75.0,L
2011030143,20112012,Flyers,Ilya Bryzgalov,3600,0,0,0,31,35,4,88.57142857142858,10,11,90.9090909090909,W
2011030144,20112012,Penguins,Marc-Andre Fleury,3596,1,0,0,22,25,3,88.0,5,8,62.5,W
2011030144,20112012,Flyers,Ilya Bryzgalov,1387,0,0,0,13,18,5,72.2222222222222,4,6,66.6666666666667,L
2011030144,20112012,Flyers,Sergei Bobrovsky,2213,0,0,0,13,18,5,72.2222222222222,5,7,71.4285714285714,
2011030145,20112012,Flyers,Ilya Bryzgalov,3513,0,0,0,20,23,3,86.9565217391304,1,2,50.0,L
2011030145,20112012,Penguins,Marc-Andre Fleury,3583,0,0,0,24,26,2,92.30769230769229,8,10,80.0,W
2011030146,20112012,Penguins,Marc-Andre Fleury,3393,0,0,0,18,22,4,81.8181818181818,3,4,75.0,L
2011030146,20112012,Flyers,Ilya Bryzgalov,3600,0,0,0,30,31,1,96.77419354838709,10,11,90.9090909090909,W
2010030121,20102011,Sabres,Ryan Miller,3600,0,0,0,35,35,0,100.0,11,11,100.0,W
2010030121,20102011,Flyers,Sergei Bobrovsky,3513,0,0,0,24,25,1,96.0,1,1,100.0,L
2010030122,20102011,Sabres,Ryan Miller,3526,0,0,0,29,34,5,85.2941176470588,13,14,92.8571428571429,L
2010030122,20102011,Flyers,Sergei Bobrovsky,750,0,0,0,4,7,3,57.1428571428571,3,5,60.0,
2010030122,20102011,Flyers,Brian Boucher,2800,0,0,0,20,21,1,95.23809523809521,4,4,100.0,W
2010030123,20102011,Flyers,Brian Boucher,3600,0,0,0,35,37,2,94.5945945945946,10,11,90.9090909090909,W
2010030123,20102011,Sabres,Ryan Miller,3541,0,0,0,22,25,3,88.0,1,2,50.0,L
2010030124,20102011,Flyers,Brian Boucher,3523,0,0,2,28,29,1,96.551724137931,6,6,100.0,L
2010030124,20102011,Sabres,Ryan Miller,3597,0,0,2,32,32,0,100.0,1,1,100.0,W
2010030125,20102011,Sabres,Ryan Miller,3916,0,0,0,36,39,3,92.30769230769229,12,12,100.0,W
2010030125,20102011,Flyers,Michael Leighton,2995,0,0,0,20,21,1,95.23809523809521,1,1,100.0,L
2010030125,20102011,Flyers,Brian Boucher,936,0,0,0,8,11,3,72.7272727272727,1,2,50.0,
2010030126,20102011,Flyers,Michael Leighton,1188,0,0,0,5,8,3,62.5,2,4,50.0,
2010030126,20102011,Flyers,Brian Boucher,2683,0,0,0,24,25,1,96.0,6,6,100.0,W
2010030126,20102011,Sabres,Ryan Miller,3883,1,0,0,44,49,5,89.7959183673469,7,8,87.5,L
2010030127,20102011,Sabres,Jhonas Enroth,1031,0,0,0,7,8,1,87.5,0,0,,
2010030127,20102011,Sabres,Ryan Miller,2519,0,0,0,24,28,4,85.71428571428571,2,4,50.0,L
2010030127,20102011,Flyers,Brian Boucher,3588,0,0,0,26,28,2,92.8571428571429,5,6,83.3333333333333,W
2011030121,20112012,Capitals,Braden Holtby,3678,0,0,2,29,30,1,96.6666666666667,9,9,100.0,L
2011030121,20112012,Bruins,Tim Thomas,3678,0,0,0,17,17,0,100.0,2,2,100.0,W
2011030122,20112012,Capitals,Braden Holtby,4976,0,0,0,43,44,1,97.7272727272727,3,3,100.0,W
2011030122,20112012,Bruins,Tim Thomas,4976,0,0,0,37,39,2,94.8717948717949,7,7,100.0,L
2011030123,20112012,Bruins,Tim Thomas,3600,0,0,0,29,32,3,90.625,4,5,80.0,W
2011030123,20112012,Capitals,Braden Holtby,3539,0,0,0,25,29,4,86.20689655172409,4,4,100.0,L
2011030124,20112012,Bruins,Tim Thomas,3528,0,0,0,19,21,2,90.4761904761905,5,6,83.3333333333333,L
2011030124,20112012,Capitals,Braden Holtby,3592,0,0,0,44,45,1,97.7777777777778,0,0,,W
2011030125,20112012,Capitals,Braden Holtby,3600,0,0,0,34,37,3,91.8918918918919,3,4,75.0,W
